Key,English(en),Spanish(es),Japanese(ja),,"stuff that involves both games go here, like the start screen and the cards, etc."
B_MineralMaker,Mineral Maker,Creador de Minerales,ミネラルマーカー,,
B_Mixed-upMinerals,Mixed-up Minerals,Organizador de Minerales,ミネラルソート,,
B_Play,Play,,,,
B_Restart,Restart,,,,
B_MainMenu,Main Menu,,,,
B_EN,English,,,,
B_ES,Spanish,,,,
B_JP,Japanese,,,,
B_Credits,Credits,,,,
B_NarrativeLab,Narrative Research Lab,,,,
B_ProjectLead,Project Lead,,,,
B_Designers,Designers,,,,
B_TranslationLocalization,Translation & Localization,,,,
B_TapAnywhere,Tap anywhere to continue,Toca la pantalla para continuar,タップしてつづく,,
B_GreatWork,Great work!,Felicidades!,よくできました。,,
B_MineralCard_Formula,Formula,,,,
B_MineralCard_Hardness,Mohs,,,,
B_MineralCard_Structure,Crystal Structure,,,,
